Year,Movie
2015,Bajrangi Bhaijaan
2015,Found a Treasure Called Love
2015,Bajirao Mastani
2015,Tanu Weds Manu Returns
2015,Dilwale
2015,Bahubali: The Beginning
2015,Any Body Can Dance 2
2015,Welcome Back
2015,Gabbar is Back
2015,Baby
2015,Piku
2015,Dil Dhadakne Do
2015,Singh Is Bliing
2015,Brothers
2015,Spectacle
2015,Drishyam
2015,Pyaar Ka Punchnama 2
2015,Phantom
2015,City of Revenge
2015,Hate Story 3
2015,Kis Kisko Pyaar Karoon
2015,Shaandaar
2015,Roy
2015,Tevar
2015,Hero
2016,Dangal
2016,Sultan
2016,Rustom
2016,Airlift
2016,M.S. Dhoni: The Untold Story
2016,Housefull 3
2016,Ae Dil Hai Mushkil
2016,Fan
2016,Shivaay
2016,Baaghi
2016,Kapoor & Sons
2016,Kapow
2016,Dear Zindagi
2016,Neerja
2016,Pink
2016,Befikre
2016,Udta Punjab
2016,Mohenjo Daro
2016,Her & Him
2016,Wazir
2016,Kahaani 2
2016,Jai Gangaajal
2016,Force 2
2016,A Flying Jatt
2016,Azhar
2017,Sanju
2017,Padmaavat
2017,Simmba
2018,2.0
2018,Race 3
2018,Baaghi 2
2018,Thugs Of Hindostan
2018,Badhaai Ho
2018,Stree
2018,Raazi
2018,Gold
2018,Sonu Ke Titu Ki Sweety
2018,Raid
2018,Zero
2018,Veere Di Wedding
2018,Satyameva Jayate
2018,Pad Man
2018,Made in India
2018,Andhadhun
2018,Dhadak
2018,Kedarnath
2018,Parmanu: The Story of Pokhran
2018,102 Not Out
2018,Hichki
2018,October
2017,Baahubali 2: The Conclusion
2017,Tiger Zinda Hai
2017,Hotchpotch Again
2017,Twins 2
2017,Toilet: A Love Story
2017,Raees
2017,Tubelight
2017,Badrinath Ki Dulhania
2017,Jolly LLB 2
2017,Kaabil
2017,Fukrey Returns
2017,Baadshaho
2017,Hindi Medium
2017,Secret Superstar
2017,When Harry Met Sejal
2017,Mubarakan
2017,Detective Jagga
2017,Half Girlfriend
2017,Sachin - A Billion Dreams
2017,Shubh Mangal Savdhan
2017,Naam Shabana
2017,Bareilly Ki Barfi
2017,Munna Micheal
2017,Tumhari Sulu
2017,Mom
2019,War
2019,Kabir Singh
2019,Uri: The Surgical Strike
2019,Housefull 4
2019,Bharat
2019,Good Newwz
2019,Mission Mangal
2019,Total Dhamaal
2019,Saaho
2019,Kesari
2019,Chhichhore
2019,Super 30
2019,Dream Girl
2019,Dabangg 3
2019,Gully Boy
2019,Bala
2019,De De Pyaar De
2019,Manikarnika: The Queen of Jhansi
2019,Luka Chuppi
2019,Badla
2019,Batla House
2019,Pati Patni aur woh
2019,Kalank
2019,Student of the Year 2
2019,Article 15
2020,Tanhaji: The Unsung Warrior
2020,Baaghi 3
2020,Street Dancer 3D
2020,Shubh Mangal Zyada Saavdhan
2020,Malang
2020,Love Aaj Kal
2020,Chhapaak
2020,Bhoot: Part One - The Haunted Ship
2020,Thappad
2020,Jawaani Jaaneman
2020,Panga
2020,Angrezi Medium
2020,Shikara
2020,Jai Mummy Di
2020,Hacked
2020,Bhangra Paa Le
2020,Sab Kushal Mangal
2020,Har Kisse Ke Hisse: Kaamyaab
2020,Guns of Banaras
2020,Doordarshan
2020,Happy Hardy and Heer
2020,Gul Makai
2020,Cookie
2020,Haunted Hills
2020,Shaheed Chandrashekhar Azaad
