tconst,title,year
tt2140465,Tanu Weds Manu Returns,2015
tt2424988,Gabbar is Back,2015
tt2976182,Roy,2015
tt3148502,Spectacle,2015
tt3159708,Welcome Back,2015
tt3398048,Tevar,2015
tt3469244,Phantom,2015
tt3678782,City of Revenge,2015
tt3679000,Any Body Can Dance 2,2015
tt3696192,Singh Is Bliing,2015
tt3735246,Bajirao Mastani,2015
tt3767372,Piku,2015
tt3802576,Brothers,2015
tt3848892,Baby,2015
tt3863552,Bajrangi Bhaijaan,2015
tt4007558,Shaandaar,2015
tt4110568,Dil Dhadakne Do,2015
tt4302956,Kis Kisko Pyaar Karoon,2015
tt4430136,Pyaar Ka Punchnama 2,2015
tt4430212,Drishyam,2015
tt4467202,Hero,2015
tt4535650,Dilwale,2015
tt4865436,Hate Story 3,2015
tt3595298,Found a Treasure Called Love,2015
tt2631186,Baahubali: The Beginning,2015
tt0315642,Wazir,2016
tt3495026,Fan,2016
tt3679060,Kapow,2016
tt3771536,Shivaay,2016
tt3859980,Mohenjo Daro,2016
tt4169250,M.S. Dhoni: The Untold Story,2016
tt4387040,Airlift,2016
tt4434004,Udta Punjab,2016
tt4559006,Ae Dil Hai Mushkil,2016
tt4559046,Housefull 3,2016
tt4744086,Her & Him,2016
tt4832640,Sultan,2016
tt4864932,Baaghi,2016
tt4900716,Kapoor & Sons,2016
tt4906984,Azhar,2016
tt4979082,Jai Gangaajal,2016
tt5074352,Dangal,2016
tt5108476,Befikre,2016
tt5156746,Force 2,2016
tt5165344,Rustom,2016
tt5235880,A Flying Jatt,2016
tt5286444,Neerja,2016
tt5477608,Kahaani 2,2016
tt5571734,Pink,2016
tt5946128,Dear Zindagi,2016
tt1806913,Hotchpotch Again,2017
tt3405236,Raees,2017
tt4129428,Detective Jagga,2017
tt4640206,Sachin - A Billion Dreams,2017
tt4849438,Baahubali 2: The Conclusion,2017
tt4906960,Baadshaho,2017
tt5456546,Twins 2,2017
tt5460276,Kaabil,2017
tt5474042,Half Girlfriend,2017
tt5690142,Mom,2017
tt5764096,Hindi Medium,2017
tt5785170,Toilet: A Love Story,2017
tt5882970,Tubelight,2017
tt5956100,Tiger Zinda Hai,2017
tt5982852,Jolly LLB 2,2017
tt5997666,When Harry Met Sejal,2017
tt6108090,Secret Superstar,2017
tt6170954,Naam Shabana,2017
tt6272828,Mubarakan,2017
tt6277440,Badrinath Ki Dulhania,2017
tt6712014,Fukrey Returns,2017
tt6791730,Tumhari Sulu,2017
tt6967980,Bareilly Ki Barfi,2017
tt6971752,Shubh Mangal Savdhan,2017
tt6452574,Sanju,2017
tt5935704,Padmaavat,2017
tt7212726,Simmba,2017
tt6117702,Munna Michael,2017
tt5080556,2.0,2018
tt5842616,Veere Di Wedding,2018
tt6527426,Zero,2018
tt6580564,102 Not Out,2018
tt6588966,Hichki,2018
tt6826438,Parmanu: The Story of Pokhran,2018
tt6843812,Baaghi 2,2018
tt7027278,Kedarnath,2018
tt7098658,Raazi,2018
tt7147540,Made in India,2018
tt7218518,Pad Man,2018
tt7363076,Raid,2018
tt7431594,Race 3,2018
tt7581902,Sonu Ke Titu Ki Sweety,2018
tt7638344,Dhadak,2018
tt7700730,October,2018
tt7725596,Badhaai Ho,2018
tt8108198,Andhadhun,2018
tt8108202,Stree,2018
tt8202612,Satyameva Jayate,2018
tt5970844,Thugs Of Hindostan,2018
tt6173990,GOLD,2018
tt10324144,Article 15,2019
tt2395469,Gully Boy,2019
tt6264938,Kesari,2019
tt6836936,Saaho,2019
tt6903440,Manikarnika: The Queen of Jhansi,2019
tt6988116,Kalank,2019
tt7059844,Dabangg 3,2019
tt7255568,Student of the Year 2,2019
tt7430722,War,2019
tt7485048,Super 30,2019
tt7639372,Total Dhamaal,2019
tt7721800,Bharat,2019
tt7721946,Housefull 4,2019
tt8130968,Badla,2019
tt8291224,Uri: The Surgical Strike,2019
tt8504014,Good Newwz,2019
tt8647400,De De Pyaar De,2019
tt8869978,Batla House,2019
tt8908002,Luka Chuppi,2019
tt8983202,Kabir Singh,2019
tt9052870,Chhichhore,2019
tt9248940,Dream Girl,2019
tt9248972,Mission Mangal,2019
tt9420648,Bala,2019
tt9680136,Pati Patni Aur Woh,2019
tt10023024,Love Aaj Kal,2020
tt10309906,Shubh Mangal Zyada Saavdhan,2020
tt10463030,Bhoot: Part One - The Haunted Ship,2020
tt10875678,Happy Hardy and Heer,2020
tt10930586,Shikara,2020
tt10964430,Thappad,2020
tt11027850,Hacked,2020
tt11231440,Doordarshan,2020
tt11509538,Haunted Hills,2020
tt11573410,Guns of Banaras,2020
tt11743900,Cookie,2020
tt8108274,Tanhaji: The Unsung Warrior,2020
tt8176312,Gul Makai,2020
tt8366590,Baaghi 3,2020
tt8562960,Shaheed Chandrashekhar Azaad,2020
tt8907986,Angrezi Medium,2020
tt8983166,Panga,2020
tt9248952,Jawaani Jaaneman,2020
tt9614460,Chhapaak,2020
tt9648672,Street Dancer 3D,2020
tt9691324,Sab Kushal Mangal,2020
tt9766280,Bhangra Paa Le,2020
tt9817760,Jai Mummy Di,2020
tt9877170,Malang,2020
tt7881550,Har Kisse Ke Hisse: Kaamyaab,2020
